category,category_id,subcategory,subcategory_id,amount,year
議会費,1000,議会費,1010,1095720,2013
総務費,2000,総務管理費,2010,18205159,2013
総務費,2000,企画費,2020,4371263,2013
総務費,2000,徴税費,2030,2535124,2013
総務費,2000,戸籍住民基本台帳費,2040,1114922,2013
総務費,2000,選挙費,2050,518121,2013
総務費,2000,統計調査費,2060,37579,2013
総務費,2000,人事委員会費,2070,110278,2013
総務費,2000,監査委員会費,2080,119017,2013
民生費,3000,社会福祉費,3010,21061897,2013
民生費,3000,児童福祉費,3020,30885478,2013
民生費,3000,生活保護費,3030,14946617,2013
民生費,3000,災害救助費,3040,7521,2013
民生費,3000,国民健康保険費,3050,6349700,2013
民生費,3000,母子・寡婦福祉資金貸付費,3060,55000,2013
民生費,3000,介護保険費,3070,8075619,2013
民生費,3000,介護保険サービス費,3080,20300,2013
民生費,3000,後期高齢者医療費,3090,1153200,2013
衛生費,4000,保健衛生費,4010,4423139,2013
衛生費,4000,保健予防費,4020,4413944,2013
衛生費,4000,健康対策費,4030,4093098,2013
衛生費,4000,生活衛生費,4040,88465,2013
衛生費,4000,清掃費,4050,8125315,2013
衛生費,4000,簡易水道費,4060,363990,2013
衛生費,4000,病院費,4070,3305600,2013
衛生費,4000,水道費,4080,35768,2013
労働費,5000,労働費,5010,592289,2013
農林水産業費,6000,農業費,6010,1699108,2013
農林水産業費,6000,林業費,6020,1311071,2013
農林水産業費,6000,水産業費,6030,516303,2013
農林水産業費,6000,山間地振興費,6040,608647,2013
農林水産業費,6000,農業集落排水費,6050,167000,2013
商工費,7000,商工費,7010,2707217,2013
商工費,7000,観光費,7020,1049672,2013
商工費,7000,港湾費,7030,494265,2013
商工費,7000,中央卸売市場費,7040,139300,2013
土木費,8000,土木管理費,8010,546271,2013
土木費,8000,道路橋りょう費,8020,18702078,2013
土木費,8000,河川費,8030,3348347,2013
土木費,8000,都市計画費,8040,12413226,2013
土木費,8000,住宅費,8050,2350012,2013
土木費,8000,動物園費,8060,678403,2013
土木費,8000,下水道費,8070,9204200,2013
消防費,9000,消防費,9010,11384929,2013
教育費,1100,教育総務費,1110,3141323,2013
教育費,1100,小学校費,1120,3237688,2013
教育費,1100,中学校費,1130,1859230,2013
教育費,1100,高等学校費,1140,3482152,2013
教育費,1100,幼稚園費,1150,661418,2013
教育費,1100,社会教育費,1160,2433927,2013
教育費,1100,保健体育費,1170,6549133,2013
災害復旧費,1200,農林水産施設災害復旧費,1210,167000,2013
災害復旧費,1200,土木施設災害復旧費,1220,596854,2013
災害復旧費,1200,教育施設災害復旧費,1230,30000,2013
公債費,1300,公債費,1310,40563000,2013
諸支出金,1400,財産費,1410,54103,2013
予備費,1500,予備費,1510,200000,2014
